uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,boutNumber,samplingImpracticalRemarks,samplingImpractical,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"f97cf969-5c0b-42c2-bfd9-8ab47221b4a5","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","9","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2019-06-18T10:20Z",1,,"OK","BRD.BART.2019.1",100,100,65,78,"mixed deciduous/evergreen forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"6b4ee40f-63ae-43a2-9ac9-91be68504370","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","8","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2019-06-18T10:51Z",1,,"OK","BRD.BART.2019.1",100,100,65,78,"deciduous forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"ee4d3a04-ba87-410e-a1f2-df74a5c9141c","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","7","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2019-06-18T11:18Z",1,,"OK","BRD.BART.2019.1",100,100,65,78,"deciduous forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"382da6a9-0226-4f67-89de-cc818f3b0557","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","4","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2019-06-18T11:41Z",1,,"OK","BRD.BART.2019.1",100,100,65,78,"deciduous forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"f265f651-5411-4e9c-a238-33507337688d","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","5","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2019-06-18T12:03Z",1,,"OK","BRD.BART.2019.1",100,100,65,78,"deciduous forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"952f53de-dd65-4d66-b7ec-07503574c33f","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","1","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2019-06-18T12:22Z",1,,"OK","BRD.BART.2019.1",100,100,65,78,"deciduous forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"669f6bde-9384-4007-92be-aeb30704d2e0","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","2","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2019-06-18T12:41Z",1,,"OK","BRD.BART.2019.1",100,100,65,78,"deciduous forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"7eba226b-ad21-4dc6-88b6-d8afcbc8f2d7","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","3","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2019-06-18T13:05Z",1,,"OK","BRD.BART.2019.1",100,100,65,78,"mixed deciduous/evergreen forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"f7fe4598-6d95-48c4-9514-f575900d3f24","BART_018.birdGrid.brd","D01","BART","BART_018","distributed","6","mixedForest",44.059971,-71.277901,"WGS84",250.1,297.2,0.2,"2019-06-18T13:30Z",1,,"OK","BRD.BART.2019.1",100,100,65,78,"mixed deciduous/evergreen forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
"44edc838-0dd3-445f-98bc-e0f042e0e145","BART_016.birdGrid.brd","D01","BART","BART_016","distributed","6","mixedForest",44.049256,-71.285512,"WGS84",250.1,325.4,0.2,"2019-06-19T10:32Z",1,,"OK","BRD.BART.2019.1",0,0,71,70,"deciduous forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vJ",,"WFREE"
